case_id,replacement_id,theme,result,question,expected_points,answer,expected_sources,retrieved_sources,runtime_s,comment
CASE-001,,TVA,Correct,Je loue un local vide à une société qui va y installer ses bureaux. Le bail n’est pas destiné à de l’habitation. Est-ce que je peux mettre de la TVA sur le loyer ?,"La location de locaux nus est en principe exonérée de TVA.; Une option à la TVA peut être possible pour des locaux nus loués pour les besoins de l’activité du preneur, sous conditions.; Si le preneur n’est pas assujetti, le bail doit notamment mentionner expressément l’option.; Réponse sous réserve de la nature exacte des locaux, de l’usage effectif et des modalités d’option.","Oui, vous pouvez soumettre le loyer à la TVA en exerçant l'option prévue au 2° de l'article 260 du CGI.",BOI-TVA-CHAMP-30-10-50; BOI-TVA-CHAMP-50-10,BOI-TVA-CHAMP-10-10-30; BOI-TVA-BASE-20-50-20-20; BOI-TVA-LIQ-30-20-90-10; BOI-TVA-IMM-10-30; BOI-TVA-CHAMP-30-10-50,215.99,Réponse exploitable
CASE-002,,TVA,Correct,"Je facture une prestation de maintenance à une entreprise. Le client m’a versé un acompte en décembre 2024, mais l’intervention aura lieu en janvier 2025. À quel moment la TVA devient-elle exigible ?","Pour les prestations de services, la TVA est en principe exigible lors de l’encaissement des acomptes, du prix ou de la rémunération.; L’acompte encaissé en décembre entraîne donc une exigibilité à hauteur de l’acompte, sauf règle particulière ou option pertinente.; Ne pas confondre date d’exécution de la prestation et encaissement.","La TVA devient exigible en décembre 2024, lors de l'encaissement de l'acompte.",BOI-TVA-BASE-20-20; BOI-TVA-BASE-20-50-10,BOI-TVA-BASE-20-50; BOI-TVA-BASE-20-50-10,47.01,Réponse exploitable
CASE-003,,TVA,Correct,Je vends du matériel à un client. Il a payé un acompte en décembre 2024 et je livrerai le matériel en février 2025. Est-ce que la TVA est déjà due sur l’acompte ?,"Pour une livraison de biens, il faut vérifier la règle BOFiP d’exigibilité applicable aux acomptes.; Si la source BOFiP applicable est récupérée, la TVA peut être exigible au moment de l’encaissement de l’acompte, à concurrence du montant encaissé.; Réponse sous réserve que l’opération soit bien une livraison de biens taxable en France.","Oui, la TVA est due sur l'acompte perçu en décembre 2024, car pour les livraisons de biens, l'exigibilité de la TVA intervient à l'encaissement de l'acompte.",BOI-TVA-BASE-20-10,BOI-TVA-BASE-20-10; BOI-TVA-BASE-20-20; BOI-TVA-CHAMP-30-30-10-20; BOI-TVA-DECLA-20-20-30-20; BOI-TVA-BASE-20-50-10,187.91,Réponse exploitable
CASE-004,,TVA,Correct,Je suis sous-traitant dans le bâtiment et je facture des travaux de rénovation à l’entreprise principale. Est-ce que je dois mettre de la TVA sur ma facture ou indiquer une autoliquidation ?,"Identifier le régime d’autoliquidation applicable aux travaux de construction ou assimilés réalisés en sous-traitance.; Si les conditions sont réunies, le sous-traitant ne facture pas la TVA et la facture doit porter la mention d’autoliquidation.; Il faut vérifier la nature des travaux, l’existence d’un contrat de sous-traitance et la qualité du preneur.",Le sous-traitant doit appliquer le mécanisme d'autoliquidation : facturer sans TVA avec la mention « autoliquidation » ; l'entreprise principale déclare et déduit la TVA.,BOI-TVA-DECLA-10-10-20; BOI-TVA-DECLA-30-20-10-20; BOI-RES-TVA-000037,BOI-TVA-DECLA-10-10-20; BOI-TVA-LIQ-30-20-90-40; BOI-TVA-DECLA-20-20-30-10; BOI-TVA-IMM-20-10-20-10; BOI-TVA-DECLA-40-10-10; BOI-TVA-LIQ-30-20-90-30,208.86,Réponse exploitable
CASE-005,,TVA,Correct,J’achète des meubles d’occasion à des particuliers pour les revendre dans ma boutique. Est-ce que je dois calculer la TVA sur tout le prix de vente ou seulement sur ma marge ?,"Identifier le régime des biens d’occasion et la qualité d’assujetti-revendeur.; Le régime de taxation sur la marge peut s’appliquer dans certains cas d’achat à des personnes qui n’ont pas facturé de TVA.; Il faut vérifier l’origine des biens, la qualité du vendeur et les conditions de tenue des justificatifs.; Ne pas appliquer automatiquement la marge si les conditions ne sont pas établies.","Vous devez calculer la TVA uniquement sur votre marge bénéficiaire (prix de vente - prix d'achat) et non sur le prix total de vente, conformément à l'article 297 A du CGI [1].",BOI-TVA-SECT-90-10; BOI-TVA-SECT-90-20-20,BOI-TVA-SECT-90-20-20; BOI-TVA-SECT-90-60; BOI-TVA-CHAMP-40-40; BOI-TVA-SECT-90-10,221.09,Réponse exploitable
CASE-006,,TVA,Correct,Je suis professionnel de l’immobilier et je revends un terrain sur lequel un permis de construire permet de bâtir. Est-ce que la TVA se calcule forcément sur le prix total ?,"Identifier si le bien est un terrain à bâtir au sens BOFiP.; Les cessions de terrains à bâtir par un assujetti agissant comme tel relèvent de règles TVA immobilières.; La base peut être le prix total en principe, mais il faut vérifier si un régime de marge peut s’appliquer selon les conditions d’acquisition.; Ne pas conclure sans informations sur l’acquisition et le droit à déduction initial.","Non, la TVA n'est pas obligatoirement calculée sur le prix total lors de la revente d'un terrain à bâtir par un professionnel de l'immobilier. La base d'imposition peut être le prix total ou la marge selon les conditions d'acquisition du terrain par le cédant.",BOI-TVA-IMM-10-10-10-20; BOI-TVA-IMM-20-10-10-10; BOI-TVA-IMM-10-20-10,BOI-TVA-IMM-20-10-10-10; BOI-TVA-IMM-10-30; BOI-TVA-IMM-20-20-20; BOI-TVA-IMM-20-20-30; BOI-TVA-IMM-10-20-10,200.11,Réponse exploitable
CASE-007,,TVA,Correct,"J’ai acheté des petits objets publicitaires que je donne gratuitement à des prospects, un seul objet par personne. Est-ce que la TVA sur ces achats est récupérable ?","Les biens cédés gratuitement sont en principe concernés par une exclusion du droit à déduction.; Une exception existe pour les biens de très faible valeur, sous conditions et avec appréciation par bénéficiaire.; Il faut connaître la valeur unitaire TTC par bénéficiaire pour conclure.; Ne pas conclure sans la valeur des objets.",La TVA sur l'achat est déductible si la valeur unitaire de chaque objet n'excède pas le seuil fixé par l'article 28-00 A de l'annexe IV au CGI (actuellement 73 € TTC par an et par bénéficiaire).,BOI-TVA-DED-30-30-50; BOI-TVA-CHAMP-10-20-20,BOI-TVA-DED-30-30-50; BOI-TVA-SECT-40-10-10; BOI-TVA-AU-40; BOI-TVA-CHAMP-10-20-20,197.03,Réponse exploitable
CASE-008,,BIC,Correct,J’ai offert des coffrets à mes meilleurs clients en fin d’année. Est-ce que mon entreprise peut les passer en charges ?,"Les cadeaux d’affaires peuvent être déductibles s’ils sont faits dans l’intérêt de l’entreprise et si leur valeur n’est pas excessive.; Il faut vérifier que la distribution n’est pas prohibée et que l’entreprise peut justifier les bénéficiaires et l’intérêt commercial.; Selon les montants, des obligations déclaratives particulières peuvent exister.","Oui, l'entreprise peut déduire le coût des coffrets offerts à ses clients, sous réserve que la dépense soit exposée dans l'intérêt de l'exploitation et ne constitue pas une libéralité excessive.",BOI-BIC-CHG-40-20-40; BOI-BIC-CHG-40-60-10; BOI-BIC-CHG-10,BOI-BIC-CHG-10-10,40.99,Réponse exploitable
CASE-009,,BIC,Correct,Je suis commerçant indépendant et je mange souvent au restaurant le midi parce que je suis trop loin de mon domicile. Quelle partie de ces repas peut être déduite ?,"Les frais supplémentaires de repas peuvent être déductibles s’ils sont nécessités par l’exercice de la profession, justifiés et d’un montant raisonnable.; Il faut demander les montants, les justificatifs, la distance au domicile et les plafonds applicables.; Ne pas calculer sans montant de repas ni barème/limites BOFiP.","Seule la fraction supplémentaire (coût réel du repas minoré de 5,50 €) est déductible, sous réserve de justifier de l'éloignement professionnel.",BOI-BIC-CHG-10-10-10; BOI-BNC-BASE-40-60-60,BOI-BIC-CHG-10-10-10; BOI-BIC-CHG-40-20-40; BOI-BIC-CHG-20-20-10; BOI-BIC-CHG-20-20-20; BOI-BIC-CHG-40-50-40-30; BOI-BIC-CHG-40-20-10; BOI-BNC-BASE-40-60-60,213.81,Même question; résultat corrigé par run de vérification isolé q009_bic_meals_verify2_20260624.
CASE-010,,BIC,Correct,Un client en difficulté me doit 18 000 € depuis plus d’un an. Puis-je passer une provision fiscale parce que je pense qu’il ne paiera pas ?,"Une provision pour créance douteuse peut être admise si les conditions de fond et de forme sont réunies.; La perte ou dépréciation doit être nettement précisée et probable.; Il faut des éléments objectifs: relances, procédure collective, contestation, ancienneté, solvabilité.; La provision doit être comptabilisée et documentée.","Oui, sous conditions, il est possible de déduire une provision pour créance douteuse de 18 000 €.",BOI-BIC-PROV-40-20; BOI-BIC-PROV-20-10-20; BOI-BIC-PROV-20-10-40,BOI-BIC-PROV-40-20; BOI-BIC-CHG-20-10-20; BOI-BIC-BASE-20-20; BOI-TVA-DED-40-10-20; BOI-BIC-PROV-20-10-40,159.27,Réponse exploitable
CASE-011,,BIC,Correct,Mon entreprise a payé une pénalité administrative pour non-respect d’une obligation légale. Est-ce que c’est déductible fiscalement ?,Les pénalités et amendes de toute nature mises à la charge de contrevenants à des obligations légales ne sont pas déductibles.; La réponse ne dépend pas seulement du fait que la dépense est comptabilisée ou payée par l’entreprise.,"La pénalité administrative pour non-respect d'une obligation légale n'est pas déductible du résultat imposable, qu'il s'agisse de l'IS ou des BIC/BNC.",BOI-BIC-CHG-60-20; BOI-BIC-CHG-60-20-20,BOI-IS-BASE-30-40-20; BOI-BIC-AMT-10-20; BOI-BIC-PROV-60-60-20; BOI-BIC-BASE-50-20-10; BOI-IS-AUT-60; BOI-IS-BASE-35-40-10-20; BOI-BIC-BASE-50-10,214.67,Réponse exploitable
CASE-012,,BIC,Correct,Un associé a prêté de l’argent à ma société et la société lui verse des intérêts. Est-ce que ces intérêts sont toujours déductibles ?,"Les intérêts versés sur avances d’associés sont soumis à des conditions et limites de déduction.; Il faut vérifier notamment la libération du capital, le taux maximum admis et les règles propres aux avances d’associés.; Ne pas conclure à une déduction intégrale sans examiner le taux et les conditions.","Non, les intérêts versés à un associé ne sont pas toujours déductibles. Leur déduction est conditionnée au respect du taux de référence (article 39-1-3° CGI) et, si l'associé détient plus de 50% du capital, aux règles de sous-capitalisation (article 212 CGI).",BOI-BIC-CHG-50-50-10; BOI-BIC-CHG-50-50-30; BOI-BIC-CHG-50-20-10,BOI-IS-BASE-30-40-50; BOI-IS-BASE-35-40-20; BOI-IS-CHAMP-20-10-20; BOI-IR-RICI-280-20-10; BOI-IS-BASE-80-20-20; BOI-IS-BASE-35-40-10-30,269.85,Réponse exploitable
CASE-013,,BIC,Correct,Mon entreprise finance un événement sportif local et son logo apparaît sur les affiches et le site de l’événement. Est-ce une charge déductible ?,Analyser comme dépense de parrainage/publicité si l’entreprise obtient une contrepartie identifiable.; La dépense doit être engagée dans l’intérêt de l’entreprise et ne pas être excessive au regard de l’avantage attendu.; Distinguer parrainage et mécénat/don sans contrepartie.,"Oui, cette dépense est en principe déductible en tant que charge professionnelle de parrainage, sous réserve du respect des conditions générales (intérêt direct de l'exploitation, proportionnalité et justification).",BOI-BIC-CHG-40-20-40; BOI-BIC-CHG-10,BOI-BIC-CHG-50-40; BOI-BIC-CHG-70-10; BOI-BIC-CHG-40-20-40; BOI-BIC-BASE-50-20-10; BOI-BNC-BASE-40-60-60,50.53,Réponse exploitable
CASE-014,,BNC,Correct,Je suis consultant libéral au régime micro-BNC avec 30 000 € de recettes encaissées sur l’année. Comment déterminer le bénéfice imposable avant impôt ?,"Le régime micro-BNC calcule le bénéfice imposable à partir des recettes encaissées diminuées d’un abattement forfaitaire.; L’abattement micro-BNC est de 34 % selon les règles BOFiP applicables.; Pour 30 000 € de recettes, l’abattement est de 10 200 € et le bénéfice imposable est de 19 800 €.","Le bénéfice imposable avant impôt est de 19 800 €, calculé en appliquant l'abattement forfaitaire de 34 % aux recettes de 30 000 €.",BOI-BNC-DECLA-20; BOI-IR-PAS-20-10-20-20,BOI-BNC-DECLA-20-10; BOI-IR-BASE-10-10-20; BOI-BNC-DECLA-10-10; BOI-BNC-BASE-20-20; BOI-BNC-BASE-40-60-40-20,199.12,Réponse exploitable
CASE-015,,BNC,Correct,Un client m’a remboursé exactement des frais que j’avais avancés pour lui et que j’ai reversés à un tiers. Est-ce que ce remboursement augmente mes recettes imposables ?,"Distinguer honoraires, remboursement de frais et débours proprement dits.; Les sommes encaissées pour le compte d’un client et reversées à un tiers peuvent être exclues des recettes si les conditions de débours sont remplies.; Il faut vérifier les justificatifs, le mandat, l’enregistrement séparé et l’absence de marge.","Non, le remboursement exact des frais avancés pour le compte d'un client ne constitue pas une recette imposable pour l'entreprise individuelle, quel que soit le régime (BIC ou BNC, micro ou réel). Ces sommes sont considérées comme des débours ou des opérations de transit, exclues du chiffre d'affaires imposable.",BOI-BNC-BASE-20-20; BOI-BNC-BASE-20-10,BOI-BIC-CHG-40-30; BOI-BNC-SECT-70-20; BOI-BIC-RICI-10-110-10; BOI-BIC-AMT-20-40-50; BOI-BIC-DECLA-10-40-20; BOI-BIC-RICI-10-110-20,209.49,Réponse exploitable
CASE-016,,BNC,Correct,Je suis professionnel libéral et j’utilise ma voiture personnelle pour visiter des clients. Puis-je utiliser un barème ou dois-je garder toutes les factures ?,Les frais de véhicule en BNC peuvent être déterminés selon des règles réelles ou forfaitaires selon les conditions.; Le barème couvre certains frais mais pas nécessairement tous.; Il faut justifier le kilométrage professionnel et distinguer l’usage privé/professionnel.,"Oui, en tant que professionnel libéral (BNC), vous pouvez utiliser le barème kilométrique forfaitaire pour déduire vos frais de déplacement avec votre voiture personnelle, sans avoir à conserver toutes les factures, sous réserve de ne pas déduire la TVA sur ce véhicule.",BOI-BNC-BASE-40-60-40-20,BOI-BNC-BASE-40-60-40-20; BOI-BNC-CESS-10-20; BOI-IR-BASE-10-10-10-10; BOI-BNC-SECT-20-10-40; BOI-BNC-BASE-40-20; BOI-AIS-MOB-10-10,188.02,Réponse exploitable
CASE-017,,BNC,Correct,Je suis au régime réel BNC et je voudrais déclarer selon les factures émises plutôt que les encaissements. Est-ce possible ?,"Le principe BNC est celui des recettes encaissées.; Une dérogation permet, sous conditions, de tenir compte des créances acquises et dépenses engagées.; Il faut vérifier l’option et ses modalités.","Oui, un professionnel soumis au régime réel des BNC (déclaration contrôlée) peut opter pour la comptabilité d'engagement (déclaration sur factures émises).",BOI-BNC-BASE-20-10-10; BOI-BNC-BASE-20-10-20,BOI-BNC-BASE-20-10-20; BOI-BNC-SECT-10-10; BOI-BNC-DECLA-20-10; BOI-BNC-BASE-40-60-40-20; BOI-BNC-CESS-10-20; BOI-BNC-CESS-20-20,223.67,Réponse exploitable
CASE-018,,BNC,Correct,"Je suis professionnel libéral assujetti à la TVA et mes clients me paient des honoraires TVA comprise. Pour le bénéfice BNC, je retiens les recettes TTC ou HT ?",Les recettes BNC sont en principe déterminées toutes taxes comprises.; Le BOFiP admet une option de déclaration hors TVA dans un souci de neutralité fiscale sous conditions.; Réponse à formuler avec réserve sur l’option et la cohérence du traitement.,"Pour un professionnel libéral assujetti à la TVA, les recettes à déclarer pour le bénéfice BNC sont les honoraires TTC (TVA comprise), sauf option pour l'article 93 A du CGI.",BOI-BNC-BASE-20-10,BOI-BNC-DECLA-20-10; BOI-BNC-BASE-20-20; BOI-BNC-BASE-10-20; BOI-BNC-BASE-20-10-20; BOI-BNC-DECLA-10-10,206.02,Réponse exploitable
CASE-019,,RFPI,Correct,Mon locataire est parti sans payer son dernier loyer et j’ai conservé son dépôt de garantie pour me rembourser. Est-ce que cette somme est imposable dans mes revenus fonciers ?,Le dépôt de garantie conservé pour couvrir des loyers impayés devient imposable au titre de l’année où il est acquis au bailleur.; Il faut distinguer dépôt simplement détenu et dépôt conservé.,"Oui, la somme correspondant au dépôt de garantie conservée pour compenser le loyer impayé est imposable dans les revenus fonciers de l'année où le bailleur la conserve définitivement.",BOI-RFPI-BASE-10-10,BOI-RFPI-SPEC-30-30; BOI-RFPI-BASE-30-20; BOI-RFPI-SPEC-30-10; BOI-RFPI-CHAMP-10-30; BOI-RFPI-BASE-20-40; BOI-BIC-CHAMP-40-10,188.4,Réponse exploitable
CASE-020,,RFPI,Correct,J’ai un emprunt pour acheter un appartement que je loue vide. Les intérêts payés à la banque sont-ils déductibles au régime réel ?,"Au régime réel, les intérêts d’emprunt contractés pour l’acquisition, conservation, réparation ou amélioration d’un immeuble donné en location peuvent être déductibles.; Vérifier que le bien est donné en location et que l’emprunt est affecté au bien générateur de revenus fonciers.; Ne pas appliquer au micro-foncier.","Oui, les intérêts d'emprunt pour l'acquisition d'un appartement loué vide sont déductibles des revenus fonciers au régime réel.",BOI-RFPI-BASE-20-80; BOI-RFPI-DECLA-20,BOI-RFPI-BASE-20-80,48.63,Réponse exploitable
CASE-021,,RFPI,Faux,Je laisse gratuitement un appartement à un proche sans percevoir de loyer. Dois-je déclarer un revenu foncier théorique ?,"Il faut examiner si le propriétaire se réserve la jouissance ou met gratuitement le bien à disposition.; Le BOFiP prévoit des règles sur la valeur locative des immeubles dont le propriétaire se réserve la jouissance.; Réponse à nuancer selon le type de bien, la mise à disposition et le régime applicable.","Non, vous n'avez pas à déclarer de revenu foncier théorique en cas de mise à disposition gratuite d'un appartement à un proche.",BOI-RFPI-BASE-10-20,BOI-RPPM-RCM-20-10-20-40; BOI-BIC-CHAMP-40-20; BOI-RPPM-PVBMI-40-30-40; BOI-RPPM-PVBMI-40-30-30-10; BOI-RPPM-RCM-10-20-20-10,183.67,Échec conservé dans le benchmark
